Pod	FriendlyName	Catalog	BankIdentifier	Name
0	ORB Financial	AlkamiDemo	f27c87f0-d4e5-4bb2-bea7-c23f0a85739f	Alkami Financial
0.1	ORB Financial PT	AlkamiPenTest2	f27c87f0-d4e5-4bb2-bea7-c23f0a85739f	ORB Financial PT
0.2	Farm Credit Services of America	AlkamiFarmCSA	41a7b488-7874-4fde-b666-98affe76180e	Farm Credit Services of America
0.2	Liberty Bank N.A.	AlkamiLibertyNA	8b0f8ffa-d6c2-4ccb-9d45-e83a79bdce94	LibertyNA
0.3	ORB Training	AlkamiTraining	d90904e7-4c19-4cb5-b3e4-2d9c0a8862b2	Alpha Financial
1	Arlington Community Federal Credit Union	AlkamiACFCU	4671446e-62f6-4f3b-8f25-74064c47953c	Arlington Community Federal Credit Union
1	Coastline Federal Credit Union	AlkamiCoastline	c8413387-57b3-4664-be9a-bb4723b3b971	Coastline Federal Credit Union
1	Connexus Credit Union	AlkamiConnexus	923420e7-e51a-4d93-929d-e7e0f20654f8	Connexus Credit Union
1	Empower Federal Credit Union	AlkamiEmpower	2476afe2-184d-4d87-9311-6549de4af133	Empower Federal Credit Union
1	Heritage Grove Federal Credit Union	AlkamiHeritageGrove	0caa073b-44f3-404b-b8ec-0293cc2d85cd	Heritage Grove Federal Credit Union
1	Kane County Teachers Credit Union	AlkamiKane	67fd5dae-277c-460b-9fe4-cb5aa716c2b5	KCT
1	Louisiana Federal Credit Union	AlkamiLFCU	ce5d4a01-2ccc-485f-8132-8544d1edec1e	Louisiana Federal Credit Union
1	Mid-Minnesota Federal Credit Union	AlkamiMinnesota	4d8ea048-794b-41df-88fa-774866296ee8	MMFCU
1	Quorum Federal Credit Union	AlkamiQuorum	39fe6bde-5e2a-4054-b229-c7c1f9f51cd7	Quorum Federal Credit Union
1	Waterbury Connecticut Teachers Credit Union	AlkamiWTCU	a5a9731a-c3fd-4b72-94f6-e1a605376ff0	Waterbury CT Teachers Federal Credit Union
1.1	Idaho Central Credit Union	AlkamiICCU	e6d119d9-48fc-4426-9c07-4a93bffa8838	Idaho Central Credit Union
1.51	Advantis Credit Union	AlkamiAdvantis	afd76770-db8b-4375-9e91-c8daad7bc428	Rivermark
1.52	Deseret First Federal Credit Union	AlkamiDeseret	413eb2ef-bdad-4d9a-abb9-18bd4442cd35	Deseret First Credit Union
