BankIdentifier	Name
005DE753-3D23-46BC-95B8-82F1524728D9	Meridian Trust Federal Credit Union
03D2B99B-E879-4745-AF33-6DFF1789D3BF	Dirigo Federal Credit Union
074DA4CA-95CA-4497-8161-0C1489E6660F	Alabama State Employees Credit Union
0A1016BA-F4FE-41F2-80C3-D86F3F1BACD1	Verve, a Credit Union
0A7A921A-BBE0-4EF2-BFE3-0B95F6C2309C	Atlantic Regional Federal Credit Union
0BDA08B4-067C-406D-B55F-7A708862B6C6	Intrepid Credit Union
0BF68CED-DCB4-4A64-BDF4-8D4C05952566	Bristol County Savings Bank Inc
0C32F8D9-9635-4E56-9349-5C4728001992	Mascoma Bank
0CAA073B-44F3-404B-B8EC-0293CC2D85CD	Heritage Grove Fcu
0EFCB03E-907A-4C6F-A6E5-D6F8854EACDC	First Fidelity Bank (U.S.)
0FB32D2B-8555-44A0-A40A-71FA06BDCABB	Advantage One Credit Union
1156D7E0-8A6B-497D-AEED-BB56FE29613A	Community Bancshares of Mississippi Inc.
11AF2E66-B72E-415B-843E-19F2EFB38067	Credit Union 1
12969C78-2C14-420A-8CA8-7739B694E3E0	Resource One Credit Union
12C1F7BA-9D44-41C2-A3F1-E2C3D0E0D88E	MERCK EMPLOYEES FEDERAL CREDIT UNION
1379036C-3D67-442D-B155-5E1A7A76F4C8	Srp Federal Credit Union
1381461E-90E7-4969-973D-68264E27E048	Yolo Federal Credit Union
13defec8-efe9-4244-81f5-ed83b59fe253	Mountain America Credit Union
13EE40BB-CD63-4E91-ACC5-D529B0787ED1	IC Federal Credit Union
14398D64-9AF5-4ACB-B617-C4BFE315AB3F	Amoco Federal Credit Union
143BB68A-1FBB-4A2E-B226-9EABA7371386	Skyla Federal Credit Union
14515E7C-C948-4661-85B1-8120E3A8B503	Horicon State Bank
1455E5FD-8282-430B-BFBC-84FD250BD991	Harvard University Employees Credit Union (Inc)
15302625-5189-4BEB-B37C-FA1274ADCED5	Arkansas Federal Credit Union
174809D8-14C1-4C82-92EF-352DD798CC34	Securityplus Federal Credit Union
1777997A-9E9B-46DB-82E0-BEDE312E8410	Pearl Hawaii Federal Credit Union
179DC3A3-F767-4F16-9E26-F24A6C12FCF2	First Federal Bank of Louisiana
17EFD756-765D-483E-8367-10B6872F6883	BMI Federal Credit Union
184BB0A7-5300-4438-A5DE-174AD898720B	Teg Federal Credit Union
1AA39087-6D94-4837-8690-9E060D3DACC5	Corporate America Family Credit Union
1E8E6481-93C4-4E8E-8E49-C6E09B646F53	Capital Credit Union
1EAAB18B-AAA8-4DD4-B6A3-498B6EB46BBE	Family Trust Fcu
1EF2FCEF-3961-4CA3-8D05-0480C4698A26	Charter Oak Federal Credit Union
1F743221-6F62-4625-AAFC-C4BA099C2D7A	Maine Savings Federal Credit Union
1F74A91E-F5CF-4B0F-9704-528CAFDC9A54	State Bank of Texas
1F8B08B6-53DF-4F9B-B4EC-748227C235AC	Ideal Credit Union
2031B92F-4BF9-4890-98E4-8A1A30D2373F	Direct Federal Credit Union
2215B178-5098-4365-A023-35567782BF7D	Heartland Credit Union - Ks
2260EFA0-5037-4F79-9B52-76B7367AA952	International Harvester Employee Credit Union Inc
2460CC0A-DBC5-4C87-BD21-F09E2FF4FB5B	South Carolina National Guard Federal Credit Union
2476AFE2-184D-4D87-9311-6549DE4AF133	Empower Federal Credit Union
25B7BFAF-9F34-45BA-B362-3BBDAF39C457	United Credit Union
27B25A17-1E5B-456E-B084-BD37FD9DA474	Frontwave Credit Union
28F75336-2D61-4C64-8237-E68AE6AC9157	mid Oregon Federal Credit Union
29B7FB76-B5C4-491A-8F21-44CD06B5256D	Trinity Bank N.a.
2A8FA900-0E29-4BAE-BC48-ED6789056F54	InTouch Credit Union
2ABCA82C-AC1A-4B4F-AA67-34EFA2038F60	Nasa Federal Credit Union
2BCB4FFB-F3F4-46C3-814C-0156B462BB93	Polish & Slavic Federal Credit Union
2C291958-BCC3-451C-AC35-C06540D18817	The Washington Trust Company of Westerly
2C6E7B00-1322-48CB-96E3-A167D96224A5	Citco Community Bancshares Inc
2DD8637F-EA3E-490D-A7E9-17DF2C955AA3	First International Bank & Trust
2DF01FA8-2542-4BB0-A914-F083128D8F3F	Southland Credit Union
2df79707-7446-45a1-8848-91ad5c2f64b6	Altura Credit Union
2FB1FAD2-D48A-4C3F-9FCC-28F3FCD09DCE	Guardian Credit Union
30442977-7CA2-4AD6-8C16-F16E667F05E8	Metro Health Services Federal Credit Union
304BCDE7-E027-484E-B7A5-E929A946B88E	Launch Federal Credit Union
306C1069-A8B5-4EF5-8DAF-34201DE83B9A	North Dallas Bank & Trust Co.
31468f71-513a-4847-a330-5022647ea2c0	Smart Financial Credit Union
315F9B9D-FAFB-4251-83B7-F236FF640A13	Credit Union of Southern California
3188E739-824C-4316-8935-6F8FAD8AC811	Maine State Credit Union
32FC9C03-E0D5-495D-A285-9841EA110DC7	Market USA Federal Credit Union
33BA0D70-D065-4690-96A8-A8E38C5BE8DF	Iq Credit Union
3410C11C-1DA7-4897-BC6D-45645A6C3DD8	Midcoast Federal Credit Union
355A7C3D-BB56-4760-B9D1-F2DB67599225	Passumpsic Savings Bank
357D1977-6B6E-461D-8BCF-67F296ABEA4D	The New Orleans Firemens Federal Credit Union
36BE0199-CD9B-458D-97C0-A25C94CFDEDD	State Farm Il Fed Credit Union
36E3AE18-8086-4D0F-8AE9-F265E238B207	Beacon Federal Credit Union
374DE16E-F621-49BE-8447-C74EEB28C192	Jeanne D' Arc Credit Union
380426C5-73B5-4263-8B44-8FE30BA00C1F	Midsouth Federal Credit Union Inc
3804DF8A-81F2-468C-BC0D-9FEBE4356528	Gulf Coast Educators Federal Credit Union
39FE6BDE-5E2A-4054-B229-C7C1F9F51CD7	Quorum Federal Credit Union
3B2EDAAA-BEB0-48FB-8682-CBFCFA350733	Somerset Trust Company
3BEED21B-855D-4119-A5D4-594DF25160D9	Veridian Credit Union
